city,company_name,tv,tv_count,internet_price,tv_price,together_price,flat
Город 1,Ростелеком,Триколор,3,800,1200,,1
Город 1,Мегафон,Мегафон,2,,,860,1
Город 1,Мегафон,Триколор,2,400,1200,,1
Город 1,Теле2,,,200,,,1
Город 1,Теле2,Триколор,1,300,1000,,1
Город 1,,Триколор,1,,1200,,1
Город 1,,Триколор,2,,1200,,1
Город 1,,Антенна,1,,,,0
Город 1,,Антенна,1,,,,1
Город 1,,Антенна,2,,,,1
Город 1,,Антенна,2,,,,1
Город 1,,Антенна,1,,,,1
Город 1,Мегафон,Триколор,1,550,1200,,1
Город 1,Ростелеком,Триколор,3,550,1200,,1
Город 1,,Триколор,3,,1200,,1
Город 1,МТС,Триколор,3,,1200,,1
Город 1,Ростелеком,Триколор,1,800,1200,,1
Город 1,,Триколор,,,,,
Город 1,,Антенна,1,,,,1
Город 1,Ростелеком,Триколор,2,980,1200,,0
Город 1,Ростелеком,Триколор,2,700,1200,,1
Город 1,Мегафон,Триколор,1,550,250,,1
Город 1,,Триколор,1,,250,,1
Город 1,МТС,Триколор,3,700,1200,,0
Город 1,Ростелеком,Ростелеком,1,,,1000,1
Город 1,Ростелеком,Ростелеком,2,,,700,1
Город 1,Мегафон,Триколор,2,700,1200,,1
Город 1,Мегафон,Триколор,2,400,1200,,1
Город 1,Ростелеком,Триколор,2,750,1200,,1
Город 1,,Триколор,,,1200,,1
Город 1,Ростелеком,Триколор,1,670,1200,,1
Город 1,Ростелеком,Триколор,1,490,1200,,1
Город 1,,Триколор,1,,1200,,1
Город 1,Ростелеком,,,500,,,1
Город 1,Мегафон,Антенна,2,550,,,0
Город 1,МТС,Триколор,2,600,2000,,1
Город 1,Ростелеком,Триколор,2,550,1200,,1
Город 1,Мегафон,Триколор,,550,1200,,1
Город 1,,Триколор,2,,1200,,0
Город 1,Мегафон,Антенна,1,330,,,0
Город 1,Мегафон,Триколор,1,650,1200,,0
Город 1,Ростелеком,Триколор,2,800,1200,,1
Город 1,Ростелеком,,,520,,,1
Город 1,Ростелеком,Триколор,1,400,1200,,1
Город 1,Ростелеком,Триколор,1,360,1200,,1
Город 1,Ростелеком,Триколор,2,550,2400,,1
Город 1,Ростелеком,Спутниковое,2,600,1200,,1
Город 1,,Антенна,2,,,,0
Город 1,Ростелеком,Триколор,2,450,1200,,1
Город 1,Ростелеком,Триколор,2,500,1200,,1
Город 1,,Триколор,1,,1200,,1
Город 1,Ростелеком,Ростелеком,1,,,810,1
Город 1,,Триколор,1,,1200,,0
Город 1,,Триколор,2,,1200,,1
Город 1,Ростелеком,Триколор,2,400,1200,,1
Город 1,,Триколор,2,,1200,,1
Город 1,Ростелеком,Ростелеком,1,,,1000,1
Город 1,,Антенна,1,,,,1
